

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    47.00000 -0.523788E+01  0.205608E+01 -0.523944E+01  0.205608E+01 -0.557528E+00   -305.425   -300.277   -409.625      47
    48.00000 -0.523174E+01  0.212450E+01 -0.523329E+01  0.212450E+01 -0.575665E+00   -329.440   -319.488   -403.607      48
    49.00000 -0.523174E+01  0.217220E+01 -0.523303E+01  0.217220E+01 -0.594559E+00   -345.306   -334.393   -396.201      49
    50.00000 -0.521192E+01  0.225948E+01 -0.521421E+01  0.225948E+01 -0.614463E+00   -366.112   -348.749   -388.903      50
    51.00000 -0.514920E+01  0.234824E+01 -0.515151E+01  0.234824E+01 -0.635310E+00   -412.851   -373.180   -383.138      51
    52.00000 -0.510451E+01  0.245476E+01 -0.510727E+01  0.245476E+01 -0.657468E+00   -442.518   -395.555   -378.908      52
    53.00000 -0.507331E+01  0.256196E+01 -0.507609E+01  0.256196E+01 -0.680625E+00   -470.532   -418.920   -375.297      53
    54.00000 -0.504987E+01  0.265583E+01 -0.505232E+01  0.265583E+01 -0.704499E+00   -495.786   -439.899   -372.818      54
    55.00000 -0.504987E+01  0.272118E+01 -0.505161E+01  0.272118E+01 -0.728810E+00   -498.949   -453.061   -371.247      55
    56.00000 -0.513987E+01  0.277203E+01 -0.514160E+01  0.277203E+01 -0.753301E+00   -428.005   -439.355   -370.159      56
    57.00000 -0.591737E+01  0.285421E+01 -0.591911E+01  0.285421E+01 -0.777935E+00   -224.812   -327.510   -370.006      57
    58.00000 -0.591737E+01  0.294120E+01 -0.591914E+01  0.294120E+01 -0.802481E+00   -329.697   -342.327   -370.577      58
    59.00000 -0.594737E+01  0.300285E+01 -0.594913E+01  0.300285E+01 -0.826803E+00   -350.990   -355.616   -371.536      59
    60.00000 -0.594737E+01  0.309201E+01 -0.594930E+01  0.309201E+01 -0.850812E+00   -381.524   -372.755   -372.499      60
    61.00000 -0.612737E+01  0.315666E+01 -0.612930E+01  0.315666E+01 -0.874611E+00   -324.505   -359.115   -373.215      61
    62.00000 -0.612737E+01  0.320670E+01 -0.612921E+01  0.320670E+01 -0.898258E+00   -374.354   -370.926   -373.564      62
    63.00000 -0.612737E+01  0.339162E+01 -0.613033E+01  0.339162E+01 -0.921850E+00   -415.401   -397.038   -373.687      63
    64.00000 -0.606295E+01  0.351963E+01 -0.606519E+01  0.351963E+01 -0.945428E+00   -509.437   -439.276   -373.729      64
    65.00000 -0.606292E+01  0.369920E+01 -0.606646E+01  0.369920E+01 -0.968946E+00   -512.788   -461.604   -373.894      65
    66.00000 -0.606292E+01  0.379752E+01 -0.606443E+01  0.379752E+01 -0.992338E+00   -560.921   -497.502   -374.322      66
    67.00000 -0.832293E+01  0.382656E+01 -0.832441E+01  0.382656E+01 -0.101566E+01   -130.747   -212.448   -374.924      67
    68.00000 -0.832293E+01  0.391735E+01 -0.832463E+01  0.391735E+01 -0.103874E+01   -233.243   -239.933   -375.890      68
    69.00000 -0.832293E+01  0.406429E+01 -0.832510E+01  0.406429E+01 -0.106158E+01   -275.737   -272.214   -376.316      69
