

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    47.00000 -0.523788E+01  0.205608E+01 -0.523929E+01  0.205590E+01 -0.313421E+00   -250.115   -245.883   -382.438      47
    48.00000 -0.523174E+01  0.212450E+01 -0.523315E+01  0.212432E+01 -0.324755E+00   -274.556   -265.470   -379.170      48
    49.00000 -0.523174E+01  0.217220E+01 -0.523289E+01  0.217202E+01 -0.336725E+00   -290.037   -279.814   -373.867      49
    50.00000 -0.521192E+01  0.225948E+01 -0.521406E+01  0.225930E+01 -0.349834E+00   -311.430   -293.746   -366.937      50
    51.00000 -0.514919E+01  0.234824E+01 -0.515137E+01  0.234806E+01 -0.363891E+00   -366.209   -320.865   -359.952      51
    52.00000 -0.510450E+01  0.245476E+01 -0.510712E+01  0.245458E+01 -0.378831E+00   -399.000   -345.009   -353.380      52
    53.00000 -0.507331E+01  0.256196E+01 -0.507595E+01  0.256178E+01 -0.394559E+00   -432.824   -370.964   -347.789      53
    54.00000 -0.504987E+01  0.265583E+01 -0.505217E+01  0.265564E+01 -0.410900E+00   -464.481   -395.748   -343.247      54
    55.00000 -0.504987E+01  0.272118E+01 -0.505146E+01  0.272100E+01 -0.427699E+00   -466.569   -411.392   -339.857      55
    56.00000 -0.513987E+01  0.277203E+01 -0.514146E+01  0.277185E+01 -0.444701E+00   -375.699   -395.079   -337.034      56
    57.00000 -0.591737E+01  0.285421E+01 -0.591896E+01  0.285403E+01 -0.461985E+00   -168.625   -278.846   -335.357      57
    58.00000 -0.591737E+01  0.294120E+01 -0.591899E+01  0.294102E+01 -0.479426E+00   -271.092   -288.955   -334.655      58
    59.00000 -0.594737E+01  0.300285E+01 -0.594899E+01  0.300267E+01 -0.496907E+00   -291.570   -300.812   -334.567      59
    60.00000 -0.594737E+01  0.309201E+01 -0.594916E+01  0.309183E+01 -0.514369E+00   -327.358   -320.811   -334.757      60
    61.00000 -0.612737E+01  0.315666E+01 -0.612915E+01  0.315648E+01 -0.531813E+00   -264.216   -305.651   -334.854      61
    62.00000 -0.612737E+01  0.320670E+01 -0.612906E+01  0.320652E+01 -0.549267E+00   -318.189   -318.190   -334.684      62
    63.00000 -0.612737E+01  0.339162E+01 -0.613018E+01  0.339144E+01 -0.566768E+00   -363.155   -347.382   -334.318      63
    64.00000 -0.606295E+01  0.351963E+01 -0.606505E+01  0.351945E+01 -0.584326E+00   -477.159   -393.122   -333.883      64
    65.00000 -0.606292E+01  0.369920E+01 -0.606631E+01  0.369902E+01 -0.601938E+00   -479.879   -419.388   -333.576      65
    66.00000 -0.606292E+01  0.379752E+01 -0.606428E+01  0.379733E+01 -0.619555E+00   -537.590   -460.760   -333.537      66
    67.00000 -0.832293E+01  0.382656E+01 -0.832427E+01  0.382637E+01 -0.637171E+00    -87.322   -161.322   -333.640      67
    68.00000 -0.832293E+01  0.391735E+01 -0.832444E+01  0.391717E+01 -0.654742E+00   -180.250   -185.659   -334.115      68
    69.00000 -0.832293E+01  0.406429E+01 -0.832491E+01  0.406410E+01 -0.672260E+00   -219.564   -216.013   -334.183      69
    70.00000 -0.827821E+01  0.421924E+01 -0.828029E+01  0.421906E+01 -0.689994E+00   -266.742   -246.888   -331.759      70
    71.00000 -0.821462E+01  0.438596E+01 -0.821685E+01  0.438578E+01 -0.708326E+00   -322.047   -282.842   -326.766      71
    72.00000 -0.815037E+01  0.456495E+01 -0.815291E+01  0.456477E+01 -0.727713E+00   -382.829   -319.754   -320.462      72
    73.00000 -0.811587E+01  0.477283E+01 -0.811912E+01  0.477264E+01 -0.747910E+00   -428.563   -355.163   -314.699      73
    74.00000 -0.806944E+01  0.494465E+01 -0.807179E+01  0.494447E+01 -0.768715E+00   -526.785   -404.767   -309.925      74
    75.00000 -0.802024E+01  0.512457E+01 -0.802280E+01  0.512439E+01 -0.790009E+00   -636.232   -452.563   -306.638      75
    76.00000 -0.801351E+01  0.530319E+01 -0.801603E+01  0.530301E+01 -0.811623E+00   -657.820   -493.084   -304.656      76
    77.00000 -0.801351E+01  0.552491E+01 -0.801711E+01  0.552472E+01 -0.833510E+00   -712.222   -536.452   -304.104      77
    78.00000 -0.115135E+02  0.553425E+01 -0.115171E+02  0.553407E+01 -0.855478E+00    -63.871   -105.878   -303.730      78
    79.00000 -0.124235E+02  0.560057E+01 -0.124271E+02  0.560039E+01 -0.877341E+00    -96.492   -109.838   -304.409      79
